#1
double DTIE(30661,2)
592229.33175 0
595800.0 0
595800.0 1
595803.108 1
595803.108 0
599400.0 0
599400.0 1
599406.6045 1
599406.6045 0
603000.0 0
603000.0 1
603006.6045 1
603006.6045 0
606600.0 0
606600.0 1
606612.62625 1
606612.62625 0
610200.0 0
610200.0 1
610213.209 1
610213.209 0
624600.0 0
624600.0 1
624605.63325 1
624605.63325 0
628200.0 0
628200.0 1
628231.4685 1
628231.4685 0
631800.0 0
631800.0 1
631866.23925 1
631866.23925 0
635400.0 0
635400.0 1
635434.965 1
635434.965 0
639000.0 0
639000.0 1
639003.108 1
639003.108 0
642600.0 0
642600.0 1
642619.23075 1
642619.23075 0
646200.0 0
646200.0 1
646240.98675 1
646240.98675 0
649800.0 0
649800.0 1
649839.04425 1
649839.04425 0
653400.0 0
653400.0 1
653442.54075 1
653442.54075 0
657000.0 0
657000.0 1
657020.202 1
657020.202 0
660600.0 0
660600.0 1
660613.5975 1
660613.5975 0
664200.0 0
664200.0 1
664212.23775 1
664212.23775 0
667800.0 0
667800.0 1
667812.23775 1
667812.23775 0
671400.0 0
671400.0 1
671437.49025 1
671437.49025 0
675000.0 0
675000.0 1
675015.73425 1
675015.73425 0
678600.0 0
678600.0 1
678629.33175 1
678629.33175 0
682200.0 0
682200.0 1
682203.108 1
682203.108 0
685800.0 0
685800.0 1
685806.6045 1
685806.6045 0
689400.0 0
689400.0 1
689406.6045 1
689406.6045 0
693000.0 0
693000.0 1
693012.62625 1
693012.62625 0
696600.0 0
696600.0 1
696613.209 1
696613.209 0
711000.0 0
711000.0 1
711005.63325 1
711005.63325 0
714600.0 0
714600.0 1
714631.4685 1
714631.4685 0
718200.0 0
718200.0 1
718266.23925 1
718266.23925 0
721800.0 0
721800.0 1
721834.965 1
721834.965 0
725400.0 0
725400.0 1
725403.108 1
725403.108 0
729000.0 0
729000.0 1
729019.23075 1
729019.23075 0
732600.0 0
732600.0 1
732640.98675 1
732640.98675 0
736200.0 0
736200.0 1
736239.04425 1
736239.04425 0
739800.0 0
739800.0 1
739842.54075 1
739842.54075 0
743400.0 0
743400.0 1
743420.202 1
743420.202 0
747000.0 0
747000.0 1
747013.5975 1
747013.5975 0
750600.0 0
750600.0 1
750612.23775 1
750612.23775 0
754200.0 0
754200.0 1
754212.23775 1
754212.23775 0
757800.0 0
757800.0 1
757837.49025 1
757837.49025 0
761400.0 0
761400.0 1
761415.73425 1
761415.73425 0
765000.0 0
765000.0 1
765029.33175 1
765029.33175 0
768600.0 0
768600.0 1
768603.108 1
768603.108 0
772200.0 0
772200.0 1
772206.6045 1
772206.6045 0
775800.0 0
775800.0 1
775806.6045 1
775806.6045 0
779400.0 0
779400.0 1
779412.62625 1
779412.62625 0
783000.0 0
783000.0 1
783013.209 1
783013.209 0
797400.0 0
797400.0 1
797405.63325 1
797405.63325 0
801000.0 0
801000.0 1
801031.4685 1
801031.4685 0
804600.0 0
804600.0 1
804666.23925 1
804666.23925 0
808200.0 0
808200.0 1
808234.965 1
808234.965 0
811800.0 0
811800.0 1
811803.108 1
811803.108 0
815400.0 0
815400.0 1
815419.23075 1
815419.23075 0
819000.0 0
819000.0 1
819040.98675 1
819040.98675 0
822600.0 0
822600.0 1
822639.04425 1
822639.04425 0
826200.0 0
826200.0 1
826242.54075 1
826242.54075 0
829800.0 0
829800.0 1
829820.202 1
829820.202 0
833400.0 0
833400.0 1
833413.5975 1
833413.5975 0
837000.0 0
837000.0 1
837012.23775 1
837012.23775 0
840600.0 0
840600.0 1
840612.23775 1
840612.23775 0
844200.0 0
844200.0 1
844237.49025 1
844237.49025 0
847800.0 0
847800.0 1
847815.73425 1
847815.73425 0
851400.0 0
851400.0 1
851429.33175 1
851429.33175 0
855000.0 0
855000.0 1
855003.108 1
855003.108 0
858600.0 0
858600.0 1
858606.6045 1
858606.6045 0
862200.0 0
862200.0 1
862206.6045 1
862206.6045 0
865800.0 0
865800.0 1
865812.62625 1
865812.62625 0
869400.0 0
869400.0 1
869413.209 1
869413.209 0
883800.0 0
883800.0 1
883805.63325 1
883805.63325 0
887400.0 0
887400.0 1
887431.4685 1
887431.4685 0
891000.0 0
891000.0 1
891066.23925 1
891066.23925 0
894600.0 0
894600.0 1
894634.965 1
894634.965 0
898200.0 0
898200.0 1
898203.108 1
898203.108 0
901800.0 0
901800.0 1
901819.23075 1
901819.23075 0
905400.0 0
905400.0 1
905440.98675 1
905440.98675 0
909000.0 0
909000.0 1
909039.04425 1
909039.04425 0
912600.0 0
912600.0 1
912642.54075 1
912642.54075 0
916200.0 0
916200.0 1
916220.202 1
916220.202 0
919800.0 0
919800.0 1
919813.5975 1
919813.5975 0
923400.0 0
923400.0 1
923412.23775 1
923412.23775 0
927000.0 0
927000.0 1
927012.23775 1
927012.23775 0
930600.0 0
930600.0 1
930637.49025 1
930637.49025 0
934200.0 0
934200.0 1
934215.73425 1
934215.73425 0
937800.0 0
937800.0 1
937829.33175 1
937829.33175 0
941400.0 0
941400.0 1
941403.108 1
941403.108 0
945000.0 0
945000.0 1
945006.6045 1
945006.6045 0
948600.0 0
948600.0 1
948606.6045 1
948606.6045 0
952200.0 0
952200.0 1
