#1
double DTIE(8761,2)
1287000 1.7266666666666668e-07
1290600 3.669166666666667e-07
1294200 3.669166666666667e-07
1297800 7.014583333333334e-07
1301400 7.338333333333334e-07
1305000 0.0
1308600 0.0
1312200 0.0
1315800 3.129583333333333e-07
1319400 1.7482500000000002e-06
1323000 3.6799583333333336e-06
1326600 1.9425e-06
1330200 1.7266666666666668e-07
1333800 1.068375e-06
1337400 2.2770416666666663e-06
1341000 2.1691249999999998e-06
1344600 2.363375e-06
1348200 1.1223333333333334e-06
1351800 7.554166666666667e-07
1355400 6.79875e-07
1359000 6.79875e-07
1362600 2.082791666666667e-06
1366200 8.741250000000001e-07
1369800 1.6295416666666668e-06
1373400 1.7266666666666668e-07
1377000 3.669166666666667e-07
1380600 3.669166666666667e-07
1384200 7.014583333333334e-07
1387800 7.338333333333334e-07
1391400 0.0
1395000 0.0
1398600 0.0
1402200 3.129583333333333e-07
1405800 1.7482500000000002e-06
1409400 3.6799583333333336e-06
1413000 1.9425e-06
1416600 1.7266666666666668e-07
1420200 1.068375e-06
1423800 2.2770416666666663e-06
1427400 2.1691249999999998e-06
1431000 2.363375e-06
1434600 1.1223333333333334e-06
1438200 7.554166666666667e-07
1441800 6.79875e-07
1445400 6.79875e-07
1449000 2.082791666666667e-06
1452600 8.741250000000001e-07
1456200 1.6295416666666668e-06
1459800 1.7266666666666668e-07
1463400 3.669166666666667e-07
1467000 3.669166666666667e-07
1470600 7.014583333333334e-07
1474200 7.338333333333334e-07
1477800 0.0
1481400 0.0
1485000 0.0
1488600 3.129583333333333e-07
1492200 1.7482500000000002e-06
1495800 3.6799583333333336e-06
1499400 1.9425e-06
1503000 1.7266666666666668e-07
1506600 1.068375e-06
1510200 2.2770416666666663e-06
1513800 2.1691249999999998e-06
1517400 2.363375e-06
1521000 1.1223333333333334e-06
1524600 7.554166666666667e-07
1528200 6.79875e-07
1531800 6.79875e-07
1535400 2.082791666666667e-06
1539000 8.741250000000001e-07
1542600 1.6295416666666668e-06
1546200 1.7266666666666668e-07
1549800 3.669166666666667e-07
1553400 3.669166666666667e-07
1557000 7.014583333333334e-07
1560600 7.338333333333334e-07
1564200 0.0
1567800 0.0
1571400 0.0
1575000 3.129583333333333e-07
1578600 1.7482500000000002e-06
1582200 3.6799583333333336e-06
1585800 1.9425e-06
